tree_order,cell_name,parent,founder_lineage,generation_from_founder,depth_from_P0,is_terminal,x_position,birth_time_min,end_time_min,branch_duration_min,apop_fate,ignore_apoptosis_fate
402,ABarappppaa,ABarappppa,AB,9,10,True,198.0,235.0,263.0,28.0,Neuron,Neuron
403,ABarappppap,ABarappppa,AB,9,10,True,199.0,235.0,263.0,28.0,Neuron,Neuron
404,ABarappppp,ABarapppp,AB,8,9,False,201.25,205.0,235.0,30.0,Unspecified,Neuron
405,ABarapppppa,ABarappppp,AB,9,10,False,200.5,235.0,269.0,34.0,Unspecified,Neuron
406,ABarapppppaa,ABarapppppa,AB,10,11,True,200.0,269.0,297.0,28.0,Neuron,Neuron
407,ABarapppppap,ABarapppppa,AB,10,11,True,201.0,269.0,297.0,28.0,Death,Not annotated
408,ABarapppppp,ABarappppp,AB,9,10,True,202.0,235.0,263.0,28.0,Neuron,Neuron
409,ABarp,ABar,AB,3,4,False,224.0234375,93.0,112.0,19.0,Unspecified,Unspecified
410,ABarpa,ABarp,AB,4,5,False,214.484375,112.0,132.0,20.0,Unspecified,Unspecified
411,ABarpaa,ABarpa,AB,5,6,False,208.9375,132.0,154.0,22.0,Unspecified,Unspecified
412,ABarpaaa,ABarpaa,AB,6,7,False,206.375,154.0,178.0,24.0,Unspecified,Neuron
413,ABarpaaaa,ABarpaaa,AB,7,8,False,204.5,178.0,205.0,27.0,Neuron,Neuron
414,ABarpaaaaa,ABarpaaaa,AB,8,9,False,203.5,205.0,235.0,30.0,Neuron,Neuron
415,ABarpaaaaal,ABarpaaaaa,AB,9,10,True,203.0,235.0,263.0,28.0,Neuron,Neuron
416,ABarpaaaaar,ABarpaaaaa,AB,9,10,True,204.0,235.0,263.0,28.0,Neuron,Neuron
417,ABarpaaaap,ABarpaaaa,AB,8,9,False,205.5,205.0,235.0,30.0,Neuron,Neuron
418,ABarpaaaapa,ABarpaaaap,AB,9,10,True,205.0,235.0,263.0,28.0,Neuron,Neuron
419,ABarpaaaapp,ABarpaaaap,AB,9,10,True,206.0,235.0,263.0,28.0,Neuron,Neuron
420,ABarpaaap,ABarpaaa,AB,7,8,False,208.25,178.0,205.0,27.0,Unspecified,Neuron
421,ABarpaaapa,ABarpaaap,AB,8,9,False,207.5,205.0,235.0,30.0,Neuron,Neuron
422,ABarpaaapaa,ABarpaaapa,AB,9,10,True,207.0,235.0,263.0,28.0,Neuron,Neuron
423,ABarpaaapap,ABarpaaapa,AB,9,10,True,208.0,235.0,263.0,28.0,Neuron,Neuron
424,ABarpaaapp,ABarpaaap,AB,8,9,True,209.0,205.0,233.0,28.0,Death,Not annotated
425,ABarpaap,ABarpaa,AB,6,7,False,211.5,154.0,178.0,24.0,Skin,Skin
426,ABarpaapa,ABarpaap,AB,7,8,False,210.5,178.0,205.0,27.0,Skin,Skin
427,ABarpaapaa,ABarpaapa,AB,8,9,True,210.0,205.0,233.0,28.0,Skin,Skin
428,ABarpaapap,ABarpaapa,AB,8,9,True,211.0,205.0,233.0,28.0,Skin,Skin
429,ABarpaapp,ABarpaap,AB,7,8,False,212.5,178.0,205.0,27.0,Skin,Skin
430,ABarpaappa,ABarpaapp,AB,8,9,True,212.0,205.0,233.0,28.0,Skin,Skin
431,ABarpaappp,ABarpaapp,AB,8,9,True,213.0,205.0,233.0,28.0,Skin,Skin
432,ABarpap,ABarpa,AB,5,6,False,220.03125,132.0,154.0,22.0,Unspecified,Unspecified
433,ABarpapa,ABarpap,AB,6,7,False,217.5625,154.0,178.0,24.0,Unspecified,Unspecified
434,ABarpapaa,ABarpapa,AB,7,8,False,215.625,178.0,205.0,27.0,Unspecified,Neuron
